How old are you?,Are you vaccinated against HPV?,How many doses have you received?,"To the best of your ability, How old were you when you received the last dose of the vaccine? - Selected Choice","To the best of your ability, How old were you when you received the last dose of the vaccine? - Please type in your answer below - Text","Have you had any adverse effects from vaccines in the past, that would stop you from getting it?",Who do you trust the most for information about vaccines?,Who do you trust the least for information about vaccines?,Do you know anyone who does not take a vaccine because of religious or cultural reasons?,Do you also identify with not taking vaccines for religious or cultural reasons?,Does your means of transportation play a role in getting the vaccine?,Have you received the flu vaccine?,Have members of your family been vaccinated against the flu?,Do you believe getting the vaccine prevents illness?,Would you vaccinate your children against the flu?,"To the best of your memory, what was the level of education of your first parent/guardian in 2006?","To the best of your memory, what was the level of education of your second parent/guardian in 2006?","To the best of your memory, what was your socioeconomic status in 2006?",Race,Sex,Gender,Sexuality,
20,1,3,10,0,Primary Care Providers,Media,1,1,1,1,1,1,1,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
18,1,1,12,1,Friends,Primary Care Providers,1,1,1,0,0,0,1,1,Post Doctorate,Associate Degree,Lower upper,Alaskan Native or Native American,Intersex,Other,Other,
26,0,0,0,1,Yourself,Media,0,0,0,0,0,0,0,0,Bachelor's Degree,High school,Middle middle,Hispanic/Latino,Female,Woman,Straight/Heterosexual,
27,1,2,16,0,Prefer not to answer,Media,0,0,0,0,0,0,0,0,High school,High school,Middle middle,Hispanic/Latino,Female,Woman,Straight/Heterosexual,
26,1,3,9,0,Primary Care Providers,Media,1,1,0,0,1,0,0,0,High school,Can't remember/Don't know,Middle middle,Hispanic/Latino,Female,Woman,Straight/Heterosexual,
21,0,0,0,0,Primary Care Providers,Family,1,0,0,1,1,0,1,0,High school,High school,Lower middle,Hispanic/Latino,Male,Man,Homosexual,
20,1,3,12,0,Primary Care Providers,Family,0,0,0,1,1,1,1,0,Bachelor's Degree,Bachelor's Degree,Upper middle,White,Female,Man,Homosexual,
20,0,0,0,0,Primary Care Providers,Media,0,0,0,1,1,1,1,1,Post Doctorate,Doctorate PhD,Lower,Asian,Female,Woman,Bisexual,
19,1,2,11,0,Primary Care Providers,Friends,0,0,0,1,1,1,1,0,High school,Middle school,Middle middle,Hispanic/Latino,Female,Woman,Straight/Heterosexual,
20,0,0,0,0,Primary Care Providers,Media,1,0,0,1,1,1,1,1,Bachelor's Degree,Bachelor's Degree,Middle middle,Black or African American,Female,Woman,Straight/Heterosexual,
19,1,1,18,0,Yourself,Media,1,0,0,0,0,0,0,0,Bachelor's Degree,Associate Degree,Lower,Black or African American,Female,Woman,Straight/Heterosexual,
22,1,3,15,0,Primary Care Providers,Media,1,0,0,0,1,0,1,0,High school,High school,Lower middle,White,Female,Woman,Straight/Heterosexual,
20,0,0,0,0,Primary Care Providers,Friends,1,0,0,1,1,1,1,0,Bachelor's Degree,Bachelor's Degree,Middle middle,White,Female,Woman,Other,
22,1,2,9,0,Primary Care Providers,Media,1,0,0,1,1,1,1,0,High school,There isn't one,Lower middle,Hispanic/Latino,Female,Woman,Straight/Heterosexual,
21,1,2,13,0,Primary Care Providers,Friends,1,0,0,0,1,0,0,0,Associate Degree,Associate Degree,Middle middle,Black or African American,Female,Woman,Straight/Heterosexual,
28,1,1,21,0,Primary Care Providers,Media,1,0,0,0,1,1,1,0,Can't remember/Don't know,Can't remember/Don't know,Lower,White,Female,Woman,Homosexual,
19,0,0,0,0,Primary Care Providers,Family,1,0,0,1,1,1,1,1,Bachelor's Degree,High school,Middle middle,White,Female,Woman,Straight/Heterosexual,
21,1,3,9,0,Primary Care Providers,Media,0,0,1,1,1,1,1,0,High school,Bachelor's Degree,Lower middle,White,Female,Woman,Bisexual,
20,0,0,0,0,Primary Care Providers,Friends,1,0,0,1,1,1,1,1,High school,High school,Lower,White,Female,Other,Queer,
